snapshot_date,league_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-03-31,35457,The Bear Jew,,,,,,,27,WHIP,1.62,1.0
2026-03-31,35457,The Bear Jew,,,,,,,89,SV2,2.0,5.5
2026-03-31,35457,Miracle Max's MLTs,,,,,,,1,GP,41.0,
2026-03-31,35457,Miracle Max's MLTs,,,,,,,60,SVH,,
2026-03-31,35457,Miracle Max's MLTs,,,,,,,7,R,22.0,7.5
2026-03-31,35457,Miracle Max's MLTs,,,,,,,12,HR,6.0,9.5
2026-03-31,35457,Miracle Max's MLTs,,,,,,,13,RBI,21.0,8.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,16,SB,4.0,8.5
2026-03-31,35457,Miracle Max's MLTs,,,,,,,3,AVG,0.232,5.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,50,IP2,22.2,
2026-03-31,35457,Miracle Max's MLTs,,,,,,,28,W,0.0,2.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,42,K,20.0,2.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,26,ERA,4.37,6.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,27,WHIP,1.1,11.0
2026-03-31,35457,Miracle Max's MLTs,,,,,,,89,SV2,2.0,5.5
2026-03-31,35457,Avners iballers,,,,,,,1,GP,43.0,
2026-03-31,35457,Avners iballers,,,,,,,60,SVH,,
2026-03-31,35457,Avners iballers,,,,,,,7,R,23.0,9.5
2026-03-31,35457,Avners iballers,,,,,,,12,HR,6.0,9.5
2026-03-31,35457,Avners iballers,,,,,,,13,RBI,22.0,10.5
2026-03-31,35457,Avners iballers,,,,,,,16,SB,3.0,6.0
2026-03-31,35457,Avners iballers,,,,,,,3,AVG,0.252,11.0
2026-03-31,35457,Avners iballers,,,,,,,50,IP2,13.1,
2026-03-31,35457,Avners iballers,,,,,,,28,W,0.0,2.0
2026-03-31,35457,Avners iballers,,,,,,,42,K,14.0,1.0
2026-03-31,35457,Avners iballers,,,,,,,26,ERA,7.43,1.0
2026-03-31,35457,Avners iballers,,,,,,,27,WHIP,1.43,5.0
2026-03-31,35457,Avners iballers,,,,,,,89,SV2,2.0,5.5
2026-03-31,35457,Rolo Tomasi,,,,,,,1,GP,47.0,
2026-03-31,35457,Rolo Tomasi,,,,,,,60,SVH,,
2026-03-31,35457,Rolo Tomasi,,,,,,,7,R,24.0,12.0
2026-03-31,35457,Rolo Tomasi,,,,,,,12,HR,5.0,5.5
2026-03-31,35457,Rolo Tomasi,,,,,,,13,RBI,22.0,10.5
2026-03-31,35457,Rolo Tomasi,,,,,,,16,SB,3.0,6.0
2026-03-31,35457,Rolo Tomasi,,,,,,,3,AVG,0.22,4.0
2026-03-31,35457,Rolo Tomasi,,,,,,,50,IP2,17.1,
2026-03-31,35457,Rolo Tomasi,,,,,,,28,W,2.0,8.5
2026-03-31,35457,Rolo Tomasi,,,,,,,42,K,23.0,3.0
2026-03-31,35457,Rolo Tomasi,,,,,,,26,ERA,7.27,2.0
2026-03-31,35457,Rolo Tomasi,,,,,,,27,WHIP,1.56,3.0
2026-03-31,35457,Rolo Tomasi,,,,,,,89,SV2,2.0,5.5
2026-03-31,35457,Nish's Rec League Team,,,,,,,1,GP,42.0,
2026-03-31,35457,Nish's Rec League Team,,,,,,,60,SVH,,
2026-03-31,35457,Nish's Rec League Team,,,,,,,7,R,17.0,2.5
2026-03-31,35457,Nish's Rec League Team,,,,,,,12,HR,4.0,4.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,13,RBI,16.0,2.5
2026-03-31,35457,Nish's Rec League Team,,,,,,,16,SB,2.0,3.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,3,AVG,0.177,1.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,50,IP2,23.0,
2026-03-31,35457,Nish's Rec League Team,,,,,,,28,W,1.0,5.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,42,K,29.0,5.5
2026-03-31,35457,Nish's Rec League Team,,,,,,,26,ERA,4.7,5.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,27,WHIP,1.57,2.0
2026-03-31,35457,Nish's Rec League Team,,,,,,,89,SV2,2.0,5.5
